Precinct (per adjusted boundaries),Have committed candidate? 13/163
BEL 48-0125,No
BEL 48-0126,No
BEL 48-0127,TBD
BEL 48-0128,TBD
BEL 48-0132,No
BEL 48-0133,No
BEL 48-0134,No
BEL 48-0153,No
BEL 48-0154,No
BEL 48-0156,No
BEL 48-0159,TBD
BEL 48-0160,TBD
BEL 48-0162,TBD
BEL 48-0165,TBD
BEL 48-0166,No
BEL 48-0178,No
BEL 48-0179,TBD
BEL 48-0186,No
BEL 48-0188,No
BEL 48-0189,No
BEL 48-0190,Yes
BEL 48-0191,No
BEL 48-0192,No
BEL 48-0193,TBD
BEL 48-0194,No
BEL 48-0196,No
BEL 48-0198,No
BEL 48-0201,No
BEL 48-0203,TBD
BEL 48-0205,No
BEL 48-0206,No
BEL 48-0211,No
BEL 48-0212,TBD
BEL 48-0213,Yes
BEL 48-0216,No
BEL 48-0217,TBD
BEL 48-0218,Yes
BEL 48-0219,TBD
BEL 48-0220,No
BEL 48-0221,No
BEL 48-0223,TBD
BEL 48-0224,Yes
BEL 48-0225,Yes
BEL 48-0226,No
BEL 48-0227,Yes
BEL 48-2430,No
BEL 48-2432,TBD
BEL 48-2434,Yes
BEL 48-2715,TBD
BEL 48-2716,TBD
BEL 48-2772,No
BEL 48-2773,No
BEL 48-2774,TBD
BEL 48-2775,TBD
BEL 48-2776,TBD
BEL 48-2782,No
BEL 48-3140,TBD
BEL 48-3143,No
BEL 48-3166,No
BEL 48-3593,No
BEL 48-3608,No
BEL 48-3658,No
BEL 48-3674,No
BEL 48-3675,Yes
BEL 48-3695,No
BEL 48-3759,No
BEL 48-3761,No
BEL 48-3827,No
BEL 48-3878,TBD
BEL 48-4003,No
BEL 48-4005,No
C-H 48-0321,TBD
C-H 48-0322,No
C-H 48-0323,TBD
C-H 48-0324,No
C-H 48-0325,No
C-H 48-0326,No
HPT 48-0533,No
KIR 48-0614,TBD
KIR 48-0615,TBD
KIR 48-0616,Yes
KIR 48-0628,TBD
KIR 48-0629,No
KIR 48-0636,No
KIR 48-0638,TBD
KIR 48-0639,TBD
KIR 48-0641,TBD
KIR 48-0642,TBD
KIR 48-0643,TBD
KIR 48-0644,TBD
KIR 48-0645,No
KIR 48-0646,No
KIR 48-2598,Yes
KIR 48-2657,TBD
KIR 48-2788,TBD
KIR 48-2863,No
KIR 48-2914,No
KIR 48-2915,No
KIR 48-2919,No
KIR 48-2920,No
KIR 48-2921,No
KIR 48-2922,TBD
KIR 48-2925,No
KIR 48-3196,Yes
KIR 48-3337,No
KIR 48-3401,TBD
KIR 48-3439,TBD
KIR 48-3760,No
KIR 48-3985,No
MED 48-0749,No
MED 48-0750,No
MED 48-0751,No
MED 48-0752,TBD
RED 48-0935,No
RED 48-0938,TBD
RED 48-0939,TBD
RED 48-0940,No
RED 48-0941,No
RED 48-0942,TBD
RED 48-0944,No
RED 48-0945,No
RED 48-0947,TBD
RED 48-0948,TBD
RED 48-0949,TBD
RED 48-0950,TBD
RED 48-0952,TBD
RED 48-0953,No
RED 48-2449,TBD
RED 48-2466,TBD
RED 48-2467,No
RED 48-2628,TBD
RED 48-2629,TBD
RED 48-2630,TBD
RED 48-2632,TBD
RED 48-2633,No
RED 48-2634,No
RED 48-2635,TBD
RED 48-2636,No
RED 48-2640,TBD
RED 48-2789,TBD
RED 48-2790,TBD
RED 48-2967,TBD
RED 48-2968,TBD
RED 48-2969,TBD
RED 48-3134,TBD
RED 48-3147,No
RED 48-3208,No
RED 48-3316,TBD
RED 48-3415,TBD
RED 48-3475,No
RED 48-3548,No
RED 48-3664,Yes
RED 48-3738,TBD
RED 48-3739,No
RED 48-3809,TBD
RED 48-3874,Yes
RED 48-3930,TBD
RED 48-3970,No
RED 48-3979,No
RED 48-3982,No
RED 48-4007,TBD
YPT 48-1233,TBD
YPT 48-1234,No